ranking,"series name",Year,certificate,runtime,genre,rating,DETAILS,ACTOR 1,ACTOR 2,ACTOR 3,ACTOR 4,VOTES
106,Blackadder Goes Forth,-1989,15,175 min,"Comedy, War",8.8,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.",Rowan Atkinson,Tony Robinson,Stephen Fry,Hugh Laurie,"52,260"
107,Fawlty Towers,(1975–1979),PG,30 min,Comedy,8.8,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",John Cleese,Prunella Scales,Andrew Sachs,Connie Booth,"91,831"
108,Monty Python's Flying Circus,(1969–1974),PG,30 min,Comedy,8.8,The original surreal sketch comedy showcase for the Monty Python troupe.,Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,"73,331"
109,The Family Man,(2019– ),18,45 min,"Action, Comedy, Drama",8.7,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",Manoj Bajpayee,Samantha Ruth Prabhu,Priyamani,Sharib Hashmi,"83,147"
110,Demon Slayer: Kimetsu no Yaiba,(2019– ),15,24 min,"Animation, Action, Adventure",8.7,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",Natsuki Hanae,Zach Aguilar,Abby Trott,Yoshitsugu Matsuoka,"91,612"
111,The Mandalorian,(2019– ),PG,40 min,"Action, Adventure, Fantasy",8.7,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",Pedro Pascal,Carl Weathers,Giancarlo Esposito,Barry Lowin,"439,907"
112,Mr. Sunshine,-2018,15,80 min,"Action, Drama, History",8.7,A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.,Lee Byung-hun,Kim Tae-ri,Yoo Yeon-Seok,Yo-Han Byun,"7,156"
113,Bose: Dead/Alive,-2017,18,20 min,"Biography, History, Mystery",8.7,"The man. The legend. The mystery. He fascinated us in life, and long after his ""death"". This is the story of India's biggest cover-up: Netaji Subhash Chandra Bose and the mystery of his alleged death.",Rajkummar Rao,Naveen Kasturia,Edward Sonnenblick,Anna Ador,"6,503"
114,Invincible,(2021– ),15,50 min,"Animation, Action, Adventure",8.7,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,Steven Yeun,J.K. Simmons,Sandra Oh,Zazie Beetz,"119,473"
115,Justice League Unlimited,(2004–2006),PG,23 min,"Animation, Action, Adventure",8.7,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,George Newbern,Kevin Conroy,Phil LaMarr,Carl Lumbly,"15,478"
116,The Marvelous Mrs. Maisel,(2017– ),15,57 min,"Comedy, Drama",8.7,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?",Rachel Brosnahan,Alex Borstein,Michael Zegen,Marin Hinkle,"110,324"
117,Dark,(2017–2020),15,60 min,"Crime, Drama, Mystery",8.7,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne,"359,859"
118,The Grand Tour,(2016– ),15,60 min,"Comedy, Sport, Talk-Show",8.7,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",Jeremy Clarkson,James May,Richard Hammond,Abbie Eaton,"72,728"
119,Fleabag,(2016–2019),15,27 min,"Comedy, Drama",8.7,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,Phoebe Waller-Bridge,Sian Clifford,Olivia Colman,Jenny Rainsford,"142,899"
120,This Is Us,(2016–2022),12,45 min,"Comedy, Drama, Romance",8.7,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.",Milo Ventimiglia,Mandy Moore,Sterling K. Brown,Chrissy Metz,"138,216"
121,Anne,(2017–2019),U,60 min,"Drama, Family",8.7,"The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.",Amybeth McNulty,Geraldine James,R.H. Thomson,Dalila Bela,"52,045"
122,Moon Lovers: Scarlet Heart Ryeo,-2016,,60 min,"Action, Drama, Fantasy",8.7,Korean melodramatic adaptation of Chinese drama  (2011) follows a woman who travels back in time to the Goryeo Dynasty of Korea whenever a total eclipse of the sun took place.,Lee Joon-Gi,Ji-eun Lee,Kang Ha-neul,Nam Joo-hyuk,"8,164"
123,Easy Living,(2015–2018),,60 min,"Action, Crime, Drama",8.7,"A corrupt businessman and family man attempts to navigate his way through increasing domestic, legal, and financial problems.",Szabolcs Thuróczy,Eszter Ónodi,Renátó Olasz,Laura Döbrösi,"7,959"
124,The Crown,(2016– ),15,58 min,"Biography, Drama, History",8.7,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,Claire Foy,Olivia Colman,Imelda Staunton,Matt Smith,"192,995"
125,Letterkenny,(2016– ),,30 min,Comedy,8.7,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",Jared Keeso,Nathan Dales,Michelle Mylett,K. Trevor Wilson,"21,910"
126,Stranger Things,(2016– ),15,51 min,"Drama, Fantasy, Horror",8.7,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",Millie Bobby Brown,Finn Wolfhard,Winona Ryder,David Harbour,"1,054,617"
127,One Punch Man: Wanpanman,(2015–2019),15,24 min,"Animation, Action, Comedy",8.7,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar,"150,667"
128,Umbre,(2014– ),,45 min,"Crime, Drama, Thriller",8.7,"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface.",Serban Pavlu,Maria Obretin,Andreea Vasile,Madalina Craiu,"10,052"
129,Yellowstone,(2018– ),G,60 min,"Drama, Western",8.7,A ranching family in Montana faces off against others encroaching on their land.,Kevin Costner,Luke Grimes,Kelly Reilly,Wes Bentley,"116,068"
130,The Bureau,(2015– ),15,52 min,"Drama, Thriller",8.7,"After six years of undercover work in Syria, French intelligence officer Malotru returns home, where he struggles to forget his undercover identity, train a young recruit, and investigate when a colleague disappears in Algeria.",Mathieu Kassovitz,Florence Loiret Caille,Jonathan Zaccaï,Sara Giraudeau,"11,285"
131,Kolah Ghermezi 90,(2011– ),,,"Comedy, Family",8.7,,Iraj Tahmasb,Kourosh Torbat Zadeh,Hamid Jebeli,Mohammad-Reza Hedayati,"5,348"
132,Line of Duty,(2012–2021),15,60 min,"Crime, Drama, Mystery",8.7,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",Martin Compston,Vicky McClure,Adrian Dunbar,Craig Parkinson,"56,660"
133,Gomorrah,(2014–2021),18,55 min,"Crime, Drama, Thriller",8.7,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,Salvatore Esposito,Marco D'Amore,Ivana Lotito,Cristiana Dell'Anna,"38,778"
134,House of Cards,(2013–2018),18,51 min,Drama,8.7,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,Kevin Spacey,Michel Gill,Robin Wright,Kate Mara,"496,349"
135,Twenty Five Twenty One,-2022,13,70 min,"Drama, Romance",8.7,"In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life.",Kim Ji Yeon,Lee Joo-Myung,Seo Jae-hee,Kim Tae-ri,"5,268"
136,Young Justice,(2010– ),PG,23 min,"Animation, Action, Adventure",8.7,Teenage superheroes strive to prove themselves as members of the Justice League.,Nolan North,Danica McKellar,Jesse McCartney,Stephanie Lemelin,"40,312"
137,Top Gear,(2002– ),15,60 min,"Adventure, Comedy, Reality-TV",8.7,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",Jeremy Clarkson,Richard Hammond,James May,The Stig,"116,803"
138,Downton Abbey,(2010–2015),12,58 min,"Drama, Romance",8.7,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,Hugh Bonneville,Phyllis Logan,Elizabeth McGovern,Brendan Coyle,"201,028"
139,Tear Along the Dotted Line,(2021– ),16,20 min,"Animation, Comedy, Drama",8.7,A cartoonist in Rome with his armadillo-for-a-conscience reflects on his path in life and a would-be love as he and his friends travel outside the city.,Zerocalcare,Valerio Mastandrea,Adam Rhys Dee,Ambrogio Colombo,"7,890"
140,Ezel,(2009–2011),,90 min,"Crime, Drama, Thriller",8.7,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",Kenan Imirzalioglu,Cansu Dere,Yigit Özsener,Baris Falay,"32,000"
141,Mouse,(2021– ),16,80 min,"Action, Crime, Mystery",8.7,"A suspenseful story that will center around the key question, ""What if we could sort out psychopaths in advance?""",Lee Seung-gi,Lee Hee-joon,Park Ju-hyun,Soo-jin Kyung,"5,457"
142,Taqdeer,(2020– ),13,20 min,"Crime, Mystery, Thriller",8.7,Freezer van driver Taqdeer spirals into a dark game of destiny after he finds the unclaimed dead body of a woman in his truck.,Chanchal Chowdhury,Sanjida Preeti,Manoj Kumar Pramanik,Shohel Mondol,"6,273"
143,The Boys,(2019– ),18,60 min,"Action, Crime, Drama",8.7,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,Karl Urban,Jack Quaid,Antony Starr,Erin Moriarty,"393,914"
144,Flower of Evil,-2020,16,70 min,"Crime, Mystery, Romance",8.7,"""Flower of Evil"" is a suspense melodrama about a man who hides his cruel past and changes his identity, while his detective wife tracks down his past.",Lee Joon-Gi,Moon Chae-Won,Seo Hyun-woo,Choi Young-joon,"6,910"
145,Severance,(2022– ),Not Rated,55 min,"Drama, Mystery, Sci-Fi",8.7,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",Adam Scott,Zach Cherry,Britt Lower,Tramell Tillman,"69,929"
146,Crash Landing on You,(2019–2020),15,70 min,"Adventure, Comedy, Romance",8.7,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,Hyun Bin,Son Ye-jin,Seo Ji-hye,Kim Jung-hyun,"25,955"
147,How to with John Wilson,(2020– ),,30 min,"Documentary, Comedy",8.7,An anxious New Yorker who attempts to give everyday advice while dealing with his own personal issues.,John Wilson,Kyle MacLachlan,Niko Nelson,Yanjaa Wintersoul,"7,613"
148,The Universe,(2007–2015),,45 min,"Documentary, History",8.7,"This educational show explores many scientific questions and topics about the universe (Big Bang, the Sun, the planets, black holes, other galaxies, astrobiology etc.) through latest CGI, data and interviews with scientists.",Erik Thompson,Alex Filippenko,Laura Danly,Clifford V. Johnson,"5,767"
149,Primal,(2019– ),15,22 min,"Animation, Action, Adventure",8.7,A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,Aaron LaPlante,Laëtitia Eïdo,Tom Kenny,Jon Olson,"10,737"
150,Code Geass: Lelouch of the Rebellion,(2006–2012),15,24 min,"Animation, Action, Drama",8.7,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all powerful empire",Jun Fukuyama,Takahiro Sakurai,Johnny Yong Bosch,Yukana,"65,415"
151,Naruto: Shippuden,(2007–2017),12,24 min,"Animation, Action, Adventure",8.7,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",Alexandre Crepet,Junko Takeuchi,Maile Flanagan,Kate Higgins,"118,137"
152,Gintama,(2005–2018),16,25 min,"Animation, Action, Comedy",8.7,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.",Tomokazu Sugita,Daisuke Sakaguchi,Rie Kugimiya,Kazuya Nakai,"10,701"
153,Slam Dunk: Suramu danku,(1993–1996),,22 min,"Animation, Comedy, Drama",8.7,"About Sakuragi Hanamichi, a freshman of Shohoku High School who joins the basketball team because of the girl he has a crush on, Haruko. Although he is newbie in this sport, he is no ordinary basketball player.",Hisao Egawa,Eriko Hara,Akiko Hiramatsu,Yukimasa Kishino,"5,535"
154,Mad Men,(2007–2015),15,47 min,Drama,8.7,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",Jon Hamm,Elisabeth Moss,Vincent Kartheiser,January Jones,"233,334"
155,Dexter,(2006–2013),18,53 min,"Crime, Drama, Mystery",8.7,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.",Michael C. Hall,Jennifer Carpenter,David Zayas,James Remar,"714,526"
156,Friday Night Lights,(2006–2011),12,44 min,"Drama, Sport",8.7,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",Kyle Chandler,Connie Britton,Zach Gilford,Aimee Teegarden,"64,985"
157,The Thick of It,(2005–2012),18,29 min,Comedy,8.7,"Set in the corridors of power and spin, the Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.",Chris Addison,James Smith,Peter Capaldi,Joanna Scanlan,"23,168"
158,Monster,(2004–2010),,24 min,"Animation, Crime, Drama",8.7,A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.,Hidenobu Kiuchi,Liam O'Brien,Mamiko Noto,Karen Strassman,"28,432"
159,House M.D.,(2004–2012),15,44 min,"Drama, Mystery",8.7,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,Hugh Laurie,Omar Epps,Robert Sean Leonard,Jesse Spencer,"451,311"
